,배번,선수,G,Min,2P,2PA,%,3P,3PA,%,FG%,FT,FTA,%,eFG%,팀,ORB,DRB,RPG,Ast,APG,w/FT,w/oFT,STL,BS,GD,TO,DK,DKA,PTS,PPG
12,11,양홍석,52,26:46:16,196,330,59.4,65,210,31.0,48.3,87,126,69.1,0.544,부산 KT 소닉붐,131,215,6.7,80,1.5,78,47,51,31,5,69,1,2,674,13
13,25,오창환,0,00:00:00,0,0,0.0,0,0,0.0,0.0,0,0,0.0,,부산 KT 소닉붐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20,이상민,0,00:00:00,0,0,0.0,0,0,0.0,0.0,0,0,0.0,,부산 KT 소닉붐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,이정제,34,05:28:45,43,88,48.9,0,1,0.0,48.3,18,28,64.3,0.483,부산 KT 소닉붐,38,46,2.5,14,0.4,26,25,12,3,3,12,0,0,104,3.1
16,55,저스틴 덴트몬,15,05:39:17,32,70,45.7,39,101,38.6,41.5,55,65,84.6,0.529,부산 KT 소닉붐,8,31,2.6,42,2.8,11,13,8,0,1,30,0,0,236,15.7
17,19,정진욱,0,00:00:00,0,0,0.0,0,0,0.0,0.0,0,0,0.0,,부산 KT 소닉붐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,12,정희원,7,00:51:03,1,3,33.3,1,7,14.3,20.0,2,2,100.0,0.25,부산 KT 소닉붐,0,8,1.1,1,0.1,1,1,2,0,0,2,0,0,7,1
19,1,조상열,42,10:35:11,15,39,38.5,48,141,34.0,35.0,16,20,80.0,0.483,부산 KT 소닉붐,24,31,1.3,23,0.5,36,45,28,0,8,21,0,0,190,4.5
20,55,조엘 헤르난데즈,2,00:27:17,5,15,33.3,0,5,0.0,25.0,2,3,66.7,0.25,부산 KT 소닉붐,5,3,4,0,0,1,1,3,0,0,3,1,3,12,6
21,10,최성모,21,05:56:56,16,37,43.2,10,39,25.6,34.2,26,37,70.3,0.408,부산 KT 소닉붐,13,36,2.3,28,1.3,12,17,10,4,3,18,0,0,88,4.2
22,3,한희원,23,05:19:27,17,50,34.0,11,39,28.2,31.5,11,18,61.1,0.376,부산 KT 소닉붐,21,32,2.3,12,0.5,18,22,11,7,1,8,0,0,78,3.4
23,5,허훈,30,14:19:56,74,153,48.4,47,131,35.9,42.6,49,74,66.2,0.509,부산 KT 소닉붐,27,41,2.3,123,4.1,21,32,34,2,2,63,0,0,338,11.3
24,2,김광철,21,02:36:22,8,25,32.0,3,17,17.7,26.2,3,4,75.0,0.298,울산 현대모비스 피버스,3,7,0.5,4,0.2,11,9,4,2,0,3,0,0,28,1.3
25,13,김동량,24,01:17:06,12,21,57.1,1,1,100.0,59.1,2,2,100.0,0.614,울산 현대모비스 피버스,8,13,0.9,2,0.1,7,6,2,1,2,4,0,0,29,1.2
26,41,남영길,1,00:04:19,0,0,0.0,0,2,0.0,0.0,2,2,100.0,0.0,울산 현대모비스 피버스,1,0,1,1,1,0,1,1,0,0,0,0,0,2,2
27,22,디제이 존슨,18,02:07:11,34,55,61.8,0,0,0.0,61.8,7,14,50.0,0.618,울산 현대모비스 피버스,21,36,3.2,3,0.2,12,4,5,5,0,11,4,4,75,4.2
28,20,라건아,50,26:29:55,537,845,63.6,2,6,33.3,63.3,153,203,75.4,0.635,울산 현대모비스 피버스,231,481,14.2,139,2.8,95,24,28,80,0,127,39,40,1233,24.7
29,4,문태종,48,15:41:45,43,102,42.2,51,154,33.1,36.7,30,44,68.2,0.467,울산 현대모비스 피버스,27,138,3.4,57,1.2,32,15,21,9,3,44,2,2,269,5.6
30,9,박경상,44,13:55:54,22,51,43.1,58,148,39.2,40.2,25,36,69.4,0.548,울산 현대모비스 피버스,15,72,2,63,1.4,24,39,33,2,13,44,0,0,243,5.5
31,11,배수용,34,06:25:13,13,40,32.5,10,40,25.0,28.8,4,6,66.7,0.35,울산 현대모비스 피버스,32,55,2.6,26,0.8,18,17,12,14,1,15,1,2,60,1.8
32,24,섀넌 쇼터,54,21:11:17,331,610,54.3,44,143,30.8,49.8,133,176,75.6,0.527,울산 현대모비스 피버스,70,235,5.6,216,4,46,32,50,15,1,127,0,0,927,17.2
33,25,서명진,21,03:23:38,11,28,39.3,10,28,35.7,37.5,4,10,40.0,0.464,울산 현대모비스 피버스,6,14,1,18,0.9,9,9,7,1,0,24,0,0,56,2.7
34,8,손홍준,4,00:18:19,1,2,50.0,0,0,0.0,50.0,1,2,50.0,0.5,울산 현대모비스 피버스,0,2,0.5,2,0.5,1,2,0,0,0,4,0,0,3,0.8
35,40,아이라 클라크,16,02:41:54,30,63,47.6,4,10,40.0,46.6,4,11,36.4,0.493,울산 현대모비스 피버스,17,40,3.6,3,0.2,18,13,3,5,1,9,6,7,76,4.8
36,6,양동근,43,19:16:15,65,120,54.2,60,148,40.5,46.6,17,25,68.0,0.578,울산 현대모비스 피버스,17,80,2.3,158,3.7,24,53,45,0,7,58,0,0,327,7.6
37,21,오용준,52,14:20:41,13,29,44.8,49,118,41.5,42.2,11,16,68.8,0.588,울산 현대모비스 피버스,10,68,1.5,28,0.5,34,58,13,7,0,20,0,0,184,3.5
38,43,이대성,34,16:05:14,98,175,56.0,73,199,36.7,45.7,65,78,83.3,0.555,울산 현대모비스 피버스,11,83,2.8,121,3.6,27,45,52,7,2,91,0,1,480,14.1
39,32,이종현,29,09:55:10,95,178,53.4,0,1,0.0,53.1,38,52,73.1,0.531,울산 현대모비스 피버스,50,94,5,55,1.9,25,17,13,45,1,42,6,6,228,7.9
40,3,정성호,3,00:11:37,1,1,100.0,1,4,25.0,40.0,0,0,0.0,0.5,울산 현대모비스 피버스,1,1,0.7,1,0.3,0,1,0,0,0,0,0,0,5,1.7
41,12,함지훈,54,24:23:10,168,292,57.5,17,58,29.3,52.9,119,154,77.3,0.553,울산 현대모비스 피버스,105,132,4.4,186,3.4,31,54,38,25,1,66,0,0,506,9.4
42,34,김우재,2,00:09:56,1,2,50.0,0,1,0.0,33.3,0,0,0.0,0.333,원주 DB 프로미,1,1,1,0,0,1,1,0,0,0,0,0,0,2,1
43,20,김창모,16,04:02:12,10,25,40.0,7,21,33.3,37.0,5,16,31.3,0.446,원주 DB 프로미,3,27,1.9,15,0.9,20,13,4,0,1,7,0,0,46,2.9
44,10,김태홍,48,17:29:19,75,148,50.7,25,104,24.0,39.7,34,46,73.9,0.446,원주 DB 프로미,65,107,3.6,48,1,43,33,23,18,3,28,0,0,259,5.4
45,27,김현호,41,12:39:20,46,92,50.0,40,104,38.5,43.9,27,33,81.8,0.541,원주 DB 프로미,19,85,2.5,98,2.4,43,56,33,11,5,59,0,0,239,5.8
46,14,노승준,3,00:17:52,0,1,0.0,0,0,0.0,0.0,1,2,50.0,0.0,원주 DB 프로미,1,1,0.7,0,0,2,2,0,1,0,2,0,0,1,0.3
47,44,리온 윌리엄스,41,21:35:00,273,463,59.0,13,44,29.6,56.4,128,182,70.3,0.577,원주 DB 프로미,179,390,13.9,65,1.6,69,40,50,33,0,46,7,8,713,17.4
48,17,마커스 포스터,51,23:21:01,323,552,58.5,143,447,32.0,46.7,211,281,75.1,0.538,원주 DB 프로미,48,217,5.2,193,3.8,69,30,49,5,5,166,24,27,1286,25.2
49,2,박병우,20,03:37:23,15,25,60.0,13,52,25.0,36.4,10,16,62.5,0.448,원주 DB 프로미,3,13,0.8,33,1.7,14,12,19,1,3,15,0,0,79,4
50,8,박지훈,54,21:40:47,102,203,50.3,42,148,28.4,41.0,32,50,64.0,0.47,원주 DB 프로미,41,93,2.5,71,1.3,73,62,22,3,7,44,0,0,362,6.7
51,5,서현석,3,00:14:32,1,4,25.0,0,0,0.0,25.0,0,2,0.0,0.25,원주 DB 프로미,1,3,1.3,1,0.3,1,0,0,0,0,1,0,0,2,0.7
52,55,원종훈,23,04:28:45,7,13,53.9,3,26,11.5,25.6,5,7,71.4,0.295,원주 DB 프로미,8,13,0.9,32,1.4,21,34,11,0,5,9,0,0,28,1.2
53,11,유성호,39,08:31:10,51,103,49.5,10,32,31.3,45.2,35,63,55.6,0.489,원주 DB 프로미,28,68,2.5,34,0.9,46,30,13,5,2,31,0,0,167,4.3
54,21,윤성원,10,01:22:33,7,20,35.0,4,11,36.4,35.5,1,2,50.0,0.419,원주 DB 프로미,6,10,1.6,2,0.2,4,4,2,1,0,5,0,0,27,2.7
55,13,윤호영,53,23:24:47,114,226,50.4,58,161,36.0,44.4,36,57,63.2,0.519,원주 DB 프로미,65,182,4.7,182,3.4,83,33,46,66,3,79,0,0,438,8.3
56,6,이광재,24,04:11:33,9,33,27.3,21,51,41.2,35.7,4,5,80.0,0.482,원주 DB 프로미,3,11,0.6,18,0.8,8,20,6,0,0,17,0,0,85,3.5
57,30,이우정,31,06:20:08,21,45,46.7,7,50,14.0,29.5,14,21,66.7,0.332,원주 DB 프로미,10,24,1.1,36,1.2,13,27,13,1,0,27,0,0,77,2.5
58,7,이지운,16,02:39:22,7,15,46.7,7,32,21.9,29.8,3,7,42.9,0.372,원주 DB 프로미,20,9,1.8,8,0.5,4,4,4,0,0,8,0,0,38,2.4
59,23,저스틴 틸먼,11,05:33:59,114,190,60.0,7,23,30.4,56.8,31,57,54.4,0.585,원주 DB 프로미,39,90,11.7,10,0.9,20,10,7,9,3,16,14,15,280,25.5
60,12,정희원,21,03:26:32,5,11,45.5,13,38,34.2,36.7,4,5,80.0,0.5,원주 DB 프로미,6,12,0.9,2,0.1,12,7,6,1,1,7,0,0,53,2.5
61,10,최성모,17,02:13:19,12,28,42.9,5,19,26.3,36.2,6,9,66.7,0.415,원주 DB 프로미,4,10,0.8,11,0.6,8,4,2,0,3,5,0,0,45,2.6
62,1,한정원,35,08:46:58,40,91,44.0,15,47,31.9,39.9,16,19,84.2,0.453,원주 DB 프로미,35,55,2.6,22,0.6,38,31,7,7,1,20,0,0,141,4
63,3,허웅,15,07:13:32,40,85,47.1,22,71,31.0,39.7,27,32,84.4,0.468,원주 DB 프로미,8,32,2.7,51,3.4,14,15,18,2,2,23,0,0,173,11.5
64,21,김강선,49,14:32:12,68,99,68.7,31,89,34.8,52.7,22,28,78.6,0.609,고양 오리온 오리온스,28,45,1.5,32,0.7,63,63,23,6,9,33,0,0,251,5.1
65,55,김진유,36,04:41:01,22,43,51.2,5,16,31.3,45.8,13,22,59.1,0.5,고양 오리온 오리온스,12,22,0.9,22,0.6,30,16,11,2,0,21,0,0,72,2
66,41,대릴 먼로,47,27:06:09,359,644,55.8,12,51,23.5,53.4,157,225,69.8,0.542,고양 오리온 오리온스,171,384,11.8,254,5.4,81,34,81,16,3,116,20,20,911,19.4
67,44,리온 윌리엄스,3,01:31:07,22,38,57.9,1,2,50.0,57.5,17,20,85.0,0.588,고양 오리온 오리온스,10,20,10,6,2,4,2,1,3,0,6,0,0,64,21.3
