,배번,선수,G,Min,2P,2PA,%,3P,3PA,%,FG%,FT,FTA,%,eFG%,팀,ORB,DRB,RPG,Ast,APG,w/FT,w/oFT,STL,BS,GD,TO,DK,DKA,PTS,PPG
138,23,오데리언 바셋,18,07:13:16,91,200,45.5,24,71,33.8,42.4,18,21,85.7,0.469,서울 SK 나이츠,9,49,3.2,59,3.3,16,15,12,2,1,41,2,2,272,15.1
139,58,우동현,6,00:15:55,0,3,0.0,0,4,0.0,0.0,0,0,0.0,0.0,서울 SK 나이츠,1,1,0.3,1,0.2,1,1,0,0,0,0,0,0,0,0
140,11,이현석,45,08:50:47,18,28,64.3,12,54,22.2,36.6,4,10,40.0,0.439,서울 SK 나이츠,13,53,1.5,31,0.7,30,23,31,4,4,18,0,0,76,1.7
141,30,정재홍,28,03:32:22,7,14,50.0,14,46,30.4,35.0,5,7,71.4,0.467,서울 SK 나이츠,2,10,0.4,23,0.8,14,15,7,1,1,5,0,0,61,2.2
142,14,최부경,50,20:36:37,149,338,44.1,0,1,0.0,44.0,59,84,70.2,0.44,서울 SK 나이츠,84,173,5.1,61,1.2,69,61,26,19,9,44,0,0,357,7.1
143,20,최성원,1,00:01:19,0,0,0.0,0,0,0.0,0.0,0,0,0.0,,서울 SK 나이츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,3,최원혁,54,10:55:21,27,47,57.5,5,39,12.8,37.2,10,20,50.0,0.401,서울 SK 나이츠,28,73,1.9,85,1.6,38,54,25,12,7,35,0,0,79,1.5
145,2,최준용,32,15:24:24,53,121,43.8,30,90,33.3,39.3,38,56,67.9,0.464,서울 SK 나이츠,59,132,6,82,2.6,59,35,16,41,2,53,2,2,234,7.3
146,44,크리스토퍼 로프튼,22,08:16:08,46,78,59.0,62,157,39.5,46.0,11,13,84.6,0.591,서울 SK 나이츠,7,44,2.3,55,2.5,12,6,32,5,0,21,0,0,289,13.1
147,71,함준후,0,00:00:00,0,0,0.0,0,0,0.0,0.0,0,0,0.0,,서울 SK 나이츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
